tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2011,Ohio State,Ohio State,North Carolina,Kentucky,Butler,Connecticut,UConn
2011,Texas-San Antonio,George Mason,Marquette,North Carolina,Virginia Commonwealth,Butler,
2011,George Mason,Kentucky,Kentucky,Connecticut,Connecticut,,
2011,Villanova,West Virginia,Ohio State,Arizona,Kentucky,,
2011,West Virginia,Marquette,Connecticut,Butler,,,
2011,Clemson,Syracuse,San Diego State,Florida,,,
2011,Kentucky,North Carolina,Arizona,Virginia Commonwealth,,,
2011,Princeton,Washington,Duke,Kansas,,,
2011,Marquette,Connecticut,Florida,,,,
2011,Xavier,Cincinnati,BYU,,,,
2011,Syracuse,San Diego State,Butler,,,,
2011,Indiana State,Temple,Wisconsin,,,,
2011,Washington,Duke,Kansas,,,,
2011,Georgia,Michigan,Richmond,,,,
2011,North Carolina,Arizona,Virginia Commonwealth,,,,
2011,Long Island,Texas,Florida State,,,,
2011,Michigan,Butler,,,,,
2011,Tennessee,Pittsburgh,,,,,
2011,Duke,Florida,,,,,
2011,Hampton,UCLA,,,,,
2011,Arizona,BYU,,,,,
2011,Memphis,Gonzaga,,,,,
2011,Texas,Wisconsin,,,,,
2011,Oakland,Kansas State,,,,,
2011,Cincinnati,Richmond,,,,,
2011,Missouri,Morehead State,,,,,
2011,Connecticut,Virginia Commonwealth,,,,,
2011,Bucknell,Purdue,,,,,
2011,Temple,Florida State,,,,,
2011,Penn State,Notre Dame,,,,,
2011,San Diego State,Kansas,,,,,
2011,Northern Colorado,Illinois,,,,,
2011,Pittsburgh,,,,,,
2011,UNC Asheville,,,,,,
2011,Butler,,,,,,
2011,Old Dominion,,,,,,
2011,Kansas State,,,,,,
2011,Utah State,,,,,,
2011,Wisconsin,,,,,,
2011,Belmont,,,,,,
2011,Gonzaga,,,,,,
2011,St. John's,,,,,,
2011,BYU,,,,,,
2011,Wofford,,,,,,
2011,UCLA,,,,,,
2011,Michigan State,,,,,,
2011,Florida,,,,,,
2011,UC Santa Barbara,,,,,,
2011,Kansas,,,,,,
2011,Boston University,,,,,,
2011,Illinois,,,,,,
2011,UNLV,,,,,,
2011,Richmond,,,,,,
2011,Vanderbilt,,,,,,
2011,Morehead State,,,,,,
2011,Louisville,,,,,,
2011,Virginia Commonwealth,,,,,,
2011,Georgetown,,,,,,
2011,Purdue,,,,,,
2011,St. Peter's,,,,,,
2011,Florida State,,,,,,
2011,Texas A&M,,,,,,
2011,Notre Dame,,,,,,
2011,Akron,,,,,,
