tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2014,Florida,Florida,Virginia,Florida,Florida,Connecticut,Connecticut
2014,Kansas,Pittsburgh,Michigan State,Dayton,Connecticut,Kentucky,
2014,Syracuse,Stephen F. Austin,Iowa State,Michigan State,Wisconsin,,
2014,UCLA,UCLA,Connecticut,Connecticut,Kentucky,,
2014,VCU,Dayton,Arizona,Arizona,,,
2014,Ohio State,Syracuse,San Diego State,Wisconsin,,,
2014,New Mexico,Stanford,Baylor,Kentucky,,,
2014,Colorado,Kansas,Wisconsin,Michigan,,,
2014,Pittsburgh,Virginia,Kentucky,,,,
2014,Stanford,Memphis,Louisville,,,,
2014,Dayton,Harvard,Tennessee,,,,
2014,Stephen F. Austin,Michigan State,Michigan,,,,
2014,Tulsa,North Carolina,Florida,,,,
2014,Western Michigan,Iowa State,UCLA,,,,
2014,Eastern Kentucky,Connecticut,Dayton,,,,
2014,Albany (NY),Villanova,Stanford,,,,
2014,Arizona,Arizona,,,,,
2014,Wisconsin,Gonzaga,,,,,
2014,Creighton,North Dakota State,,,,,
2014,San Diego State,San Diego State,,,,,
2014,Oklahoma,Baylor,,,,,
2014,Baylor,Creighton,,,,,
2014,Oregon,Oregon,,,,,
2014,Gonzaga,Wisconsin,,,,,
2014,Oklahoma State,Wichita State,,,,,
2014,BYU,Kentucky,,,,,
2014,Nebraska,Saint Louis,,,,,
2014,North Dakota State,Louisville,,,,,
2014,New Mexico State,Tennessee,,,,,
2014,Louisiana-Lafayette,Mercer,,,,,
2014,American,Texas,,,,,
2014,Weber State,Michigan,,,,,
2014,Virginia,,,,,,
2014,Villanova,,,,,,
2014,Iowa State,,,,,,
2014,Michigan State,,,,,,
2014,Cincinnati,,,,,,
2014,North Carolina,,,,,,
2014,Connecticut,,,,,,
2014,Memphis,,,,,,
2014,George Washington,,,,,,
2014,St. Joseph's,,,,,,
2014,Providence,,,,,,
2014,Harvard,,,,,,
2014,Delaware,,,,,,
2014,North Carolina Central,,,,,,
2014,Milwaukee,,,,,,
2014,Coastal Carolina,,,,,,
2014,Wichita State,,,,,,
2014,Michigan,,,,,,
2014,Duke,,,,,,
2014,Louisville,,,,,,
2014,Saint Louis,,,,,,
2014,Massachusetts,,,,,,
2014,Texas,,,,,,
2014,Kentucky,,,,,,
2014,Kansas State,,,,,,
2014,Arizona State,,,,,,
2014,Tennessee,,,,,,
2014,NC State,,,,,,
2014,Manhattan,,,,,,
2014,Mercer,,,,,,
2014,Wofford,,,,,,
2014,Cal Poly SLO,,,,,,
