2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Pittsburgh,16.36777991,BYU,14.37456188,Oklahoma,15.44941434,North Carolina St.,14.82582039,UNLV,14.23416563,Kansas St.,15.19358455,Butler,15.618786,Oklahoma St.,15.16551976,Southern California,15.40424261,West Virginia,15.71890383
Cincinnati,15.97250703,Davidson,14.33851183,San Diego St.,15.35545266,Ole Miss,14.79668881,Iowa St.,14.00286107,Georgetown,15.15313735,Pittsburgh,15.60032515,Tennessee,15.11609455,Drake,15.15150468,Virginia Tech,15.69675676
UConn,15.88009066,Illinois,14.18106958,VCU,15.05218674,Iowa,14.75756064,Michigan,13.8793286,Michigan,14.84431502,Georgia Tech,15.54789754,California,14.67259853,Mississippi St.,14.59888149,Illinois,15.58985614
Texas,15.87982181,Maryland,14.10930524,Arkansas,14.75381726,Marquette,14.54666439,Cincinnati,13.61594601,Gonzaga,14.4755159,Louisville,15.38215269,Florida,14.41797878,Florida,14.57800754,Florida St.,15.44580656
Gonzaga,15.86747195,Providence,13.92811384,SMU,14.16619666,Kentucky,14.34144185,Creighton,13.60232767,Virginia Tech,14.41279959,Utah St.,14.60698858,Notre Dame,14.13032808,Purdue,14.41996407,Xavier,15.42835887
Michigan,15.38442057,Purdue,13.80755053,Stanford,13.86487757,Oregon,14.33456032,Stanford,13.322965,Michigan St.,14.34476336,St. Mary's (CA),14.57679059,Kentucky,14.12386944,New Mexico,14.22806926,Syracuse,15.22586359
St. Mary's (CA),14.96567012,Florida,13.6132252,Arizona St.,13.77121632,Notre Dame,14.25960164,Virginia,13.20361251,Clemson,14.31380587,Ole Miss,14.49505101,Utah,14.10104356,Syracuse,13.90245333,Missouri St.,15.16407611
Florida,14.78597916,Indiana,13.2791888,Memphis,13.42831296,Colorado St.,14.22496239,UConn,12.96055803,Florida St.,14.04429917,Arizona St.,14.44978234,Kansas St.,13.80749995,Butler,13.80451568,Arkansas,15.06727997
Wisconsin,14.55239581,St. John's (NY),13.1699982,New Mexico,13.3625229,Kansas St.,14.0888849,West Virginia,12.81307113,Utah St.,13.83868567,Notre Dame,14.40752796,LSU,13.70054524,Arkansas,13.78001854,Marquette,14.99853874
Notre Dame,14.49234996,SMU,13.16271033,Texas,13.18955128,New Mexico,13.84536804,North Carolina St.,12.78281545,St. John's (NY),13.71146563,Dayton,14.15650971,Wisconsin,13.67897472,Oklahoma,13.45533697,Southern California,14.99733737
Seton Hall,14.10263153,Georgia,12.99865056,Florida St.,13.12690616,Illinois,13.76517705,Belmont,12.49455207,St. Mary's (CA),13.63585164,UTEP,14.0879544,Miami (FL),13.61506102,Missouri,13.30388228,Boston College,14.98480961
Southern California,14.04944072,Stanford,12.89902843,Louisiana Tech,12.93119941,San Diego St.,13.55835923,St. Mary's (CA),11.94578629,Belmont,13.59365342,UNLV,13.9090697,Ohio St.,13.55393257,BYU,13.29686993,Southern Ill.,14.86343474
Syracuse,13.97283902,Minnesota,12.83319544,Utah,12.8935478,UNLV,13.43142259,BYU,11.92431481,Texas A&M,13.18535564,Oklahoma St.,13.89651707,Baylor,13.51121786,Oregon,13.24356223,Butler,14.78247046
VCU,13.96022477,VCU,12.77281678,Kansas St.,12.68350239,Virginia,13.40597717,Notre Dame,11.86595448,Wichita St.,13.13826857,UConn,13.85266062,Arizona,13.40656927,Ole Miss,13.16018201,Oklahoma,14.72608993
Creighton,13.80261484,Miami (FL),12.70682286,Minnesota,12.54100425,UCLA,13.38027211,Arizona,11.5935379,Temple,12.94166198,New Mexico,13.75748147,San Diego St.,13.09132553,Virginia Tech,13.03137462,Washington St.,14.58580692
Texas Tech,13.53707368,UNI,12.56181753,Xavier,12.37297031,Memphis,12.72036102,Washington,11.46711485,Washington St.,12.84950052,Memphis,13.68999877,New Mexico,12.80413583,Miami (FL),13.01626752,UConn,14.53310317
Kansas St.,13.44709139,Vanderbilt,12.39865629,West Virginia,12.32571351,Colorado,12.45066902,Miami (FL),11.43167344,Penn St.,12.59683668,Temple,13.67675404,Washington St.,12.75826079,Baylor,12.96529924,Virginia,14.4691585
Florida St.,12.79554818,San Diego St.,12.3235327,St. John's (NY),12.1070546,UConn,12.39736631,Minnesota,11.39964051,Xavier,12.50103461,Mississippi St.,13.65132583,Florida St.,12.64500711,Nebraska,12.74265135,Georgia,14.32640523
Houston,12.67531198,Texas A&M,12.29935841,Maryland,12.09138444,Butler,12.09772099,UCLA,11.21492446,Minnesota,12.42747599,Florida,13.54831336,Minnesota,12.63887218,St. Mary's (CA),12.63545085,UNLV,14.22282971
South Carolina,12.54976791,TCU,12.27861605,Saint Louis,12.09053276,Stanford,11.93230305,Temple,11.11824398,New Mexico,12.2897076,Virginia Tech,13.41183389,Michigan,12.46138306,Illinois,12.36377603,LSU,14.08793997
Colorado,12.4001495,LSU,12.25280183,BYU,11.99868558,Oklahoma,11.91324171,Seton Hall,10.91951701,UCLA,12.28536079,Gonzaga,13.38851625,Stanford,12.44901914,Vanderbilt,12.15468595,Vanderbilt,13.97685116
Georgia Tech,12.38070173,Syracuse,12.24982036,Providence,11.86696535,Maryland,11.8874704,Oregon,10.87385868,Northwestern,12.27937751,Illinois,13.20647471,Maryland,12.23005572,Villanova,12.13639326,Creighton,13.81067205
BYU,12.27676529,Ole Miss,12.18141136,Indiana,11.75098344,Middle Tenn.,11.62660086,Xavier,10.26006806,George Mason,12.22989252,UNI,12.96273937,Texas A&M,11.5787366,Arizona St.,12.07519184,DePaul,13.64870637
Dayton,12.12179953,UCLA,11.64690166,Clemson,11.59310307,Villanova,11.25534511,Long Beach St.,10.2117275,Alabama,12.18274577,Wake Forest,12.86186542,UAB,11.50313,UNLV,11.67864625,Gonzaga,13.4998869
Clemson,12.02900635,Oregon,11.48313995,Georgetown,11.41743423,BYU,11.25164812,Tennessee,10.17233837,Butler,12.1506153,Miami (FL),12.85572243,Butler,11.37391413,Minnesota,11.62921482,BYU,12.73384135
Washington,11.84867998,South Carolina,11.42351135,Colorado,11.2120365,California,11.1702003,Pittsburgh,10.11656612,Southern California,12.09697792,Old Dominion,12.69316959,Auburn,11.37181801,Florida St.,11.40511663,Akron,12.47190327
UCLA,11.78363027,Dayton,11.18110379,George Washington,11.13702406,Belmont,10.8183169,Illinois,10.01893603,Colorado,12.02738469,San Diego St.,12.42171662,Boston College,11.17814594,California,11.14897756,Missouri,12.10689954
Saint Joseph's,11.59112739,Cincinnati,10.89272845,California,11.1212715,La Salle,10.70130135,South Fla.,9.889209698,Richmond,11.80045188,North Carolina,12.28529449,Utah St.,11.04743991,Oklahoma St.,11.00472129,Bradley,12.09139145
Arkansas,11.5511858,Alabama,10.61158712,Massachusetts,11.11528761,Boise St.,10.45702722,Mississippi St.,9.814804092,Seton Hall,11.64437668,Seton Hall,11.71935568,St. Mary's (CA),10.68675489,Massachusetts,10.94925847,Alabama,12.04296143
