2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Toledo,3.510941541,San Francisco,3.808819634,Indiana St.,3.738280121,Drake,3.981964477,Bucknell,4.241994669,Fairfield,3.514910006,Pacific,4.126493741,UCF,3.237776655,St. John's (NY),4.115352941,Southern Miss.,4.461643743
Missouri,3.500308674,Akron,3.730399171,Belmont,3.630654235,St. Bonaventure,3.974029799,Nebraska,4.192283456,James Madison,3.495921224,Akron,4.112435622,Northeastern,3.1157466,San Diego,3.963249864,Saint Louis,4.435903669
Iona,3.386679387,William & Mary,3.669202484,Boston College,3.530032018,Wake Forest,3.940723631,Boise St.,4.192072218,Saint Louis,3.43921951,SMU,3.893714823,Drake,3.113263247,Iowa,3.962001297,New Mexico,4.415099954
Old Dominion,3.311059245,New Mexico St.,3.507702955,Rhode Island,3.502365203,UCF,3.849706878,Utah St.,4.150267713,Morehead St.,3.325912523,Oregon St.,3.811978713,Bradley,3.072814234,Utah St.,3.781301579,Holy Cross,4.407921535
Minnesota,3.188844017,Utah St.,3.503410425,Princeton,3.338292038,Fresno St.,3.847291234,Evansville,4.140833015,Air Force,3.282409496,Iona,3.503482113,Southern Miss.,3.06718415,Old Dominion,3.761418489,A&M-Corpus Christi,4.346205258
Pepperdine,3.156376467,Eastern Mich.,3.33932989,La.-Lafayette,3.329137537,Princeton,3.67814353,Texas-Arlington,4.028994006,Utah,3.084913106,IUPUI,3.427636173,Wichita St.,3.037612277,Wright St.,3.625943807,Temple,4.251383595
Col. of Charleston,3.150895556,South Dakota St.,3.301444292,Hawaii,3.291162115,Penn St.,3.383694267,UNC Asheville,3.741414747,Bucknell,2.985600798,Western Ky.,3.414977227,Oregon,3.017047318,UNC Greensboro,3.6053912,Toledo,4.224878106
Southern Ill.,3.014245439,Mississippi St.,3.282300306,Houston,3.168784919,Charlotte,3.247976067,Fairfield,3.628445073,Coastal Caro.,2.867007521,New Mexico St.,3.323123283,Portland St.,2.896150263,Valparaiso,3.582882906,Dayton,4.005927911
Columbia,2.891105556,UC Davis,3.190031729,Delaware,3.16531824,FGCU,3.205229786,Butler,3.626975364,LIU Brooklyn,2.815129846,Harvard,3.199622896,Rutgers,2.79581453,Marshall,3.433954617,Iowa St.,3.76359156
Fordham,2.86184343,UC Irvine,3.144769364,Temple,3.129722164,San Francisco,3.161355996,UTEP,3.587237745,Akron,2.793554286,Appalachian St.,3.085805843,Stephen F. Austin,2.731515377,Auburn,3.360565283,Ohio,3.760406315
Siena,2.657318072,Cleveland St.,3.070792941,Ohio,3.129440664,East Carolina,2.986066673,Kent St.,3.433199731,Montana,2.779072999,Iowa,3.083295769,East Tenn. St.,2.705302838,Portland St.,3.253193759,Hofstra,3.701981474
Nevada,2.450214329,Hawaii,3.027501172,Southern California,3.040027263,South Dakota St.,2.877611784,South Carolina,3.33427195,New Mexico St.,2.645292131,Hofstra,2.944190207,Weber St.,2.645601097,North Texas,3.252798647,Western Mich.,3.656794296
Ohio,2.448343099,Evansville,2.984016199,UCF,2.807285978,Canisius,2.844379272,St. John's (NY),3.321052128,East Tenn. St.,2.610055123,Indiana,2.76416365,Buffalo,2.599342109,Boise St.,3.149415626,Utah Valley,3.614317892
Utah St.,2.295478408,Wofford,2.962415304,George Mason,2.52085826,Kent St.,2.841255889,UAB,3.284161055,Oral Roberts,2.609830078,Northern Colo.,2.69805499,Saint Louis,2.358069265,Rider,3.092661929,Wyoming,3.61325262
Duquesne,2.263845683,Kent St.,2.815989378,Nevada,2.46624119,Wright St.,2.729523983,Princeton,3.25031265,Detroit,2.504044981,Detroit,2.559904606,Wyoming,2.336526427,Stephen F. Austin,3.047770753,South Fla.,3.549102842
Auburn,2.238428928,Southern California,2.748057282,Virginia Tech,2.389719518,George Mason,2.550597874,Auburn,3.202439791,San Francisco,2.422276429,Rutgers,2.556550801,Ill.-Chicago,2.32192262,UC Santa Barbara,2.799675553,Western Ky.,3.491484243
La.-Lafayette,2.033628689,Auburn,2.743157272,Pacific,2.300609234,Pacific,2.47118471,Detroit,3.165979547,IUPUI,2.365153808,St. Bonaventure,2.47293764,Kent St.,2.270899626,CSUN,2.600900929,Indiana St.,3.42157048
DePaul,1.876192682,Charlotte,2.438026687,Eastern Mich.,2.224655815,Tulane,2.320693019,Drake,3.118625701,Loyola Chicago,2.359791746,Colorado St.,2.430860833,Belmont,2.091612376,Indiana St.,2.55756019,Bucknell,3.378105053
Belmont,1.811273069,Long Beach St.,2.38524024,Western Mich.,2.130612999,Virginia Tech,2.243303301,East Carolina,3.099501538,Rider,2.196735399,LSU,2.373829421,Charlotte,1.992790213,North Dakota St.,2.408228416,Utah,3.280317447
New Mexico St.,1.7529852,Western Mich.,2.196268811,DePaul,1.987193228,DePaul,2.207097179,Lamar,3.088198488,Milwaukee,2.146202846,DePaul,2.369166643,Jacksonville,1.84752005,Wichita St.,2.185136943,Wright St.,3.197135587
Northeastern,1.744536949,Northeastern,1.897323403,Boston U.,1.931306385,Green Bay,2.188920918,Loyola Marymount,2.891339077,Oregon St.,2.087377393,Indiana St.,2.256451063,Massachusetts,1.833276795,Tulane,1.984527636,Long Beach St.,3.161967278
Colorado St.,1.708906395,Missouri,1.728124522,San Diego,1.909135902,Eastern Ky.,2.147663742,Indiana St.,2.766273841,Rice,2.030530771,Milwaukee,2.156866365,Southern Ill.,1.644958019,Air Force,1.969096638,Minnesota,2.877531157
Middle Tenn.,1.695676899,Loyola Chicago,1.611942073,Washington St.,1.8371671,Bradley,1.817483378,DePaul,2.686360156,Northern Colo.,1.985219983,Duquesne,1.977388313,Marshall,1.601094054,Cornell,1.862411006,Marist,2.835556753
UCF,1.647537158,Virginia Tech,1.593477991,Long Beach St.,1.832879949,Loyola Maryland,1.812986004,San Francisco,2.597162635,East Carolina,1.979909406,Miami (OH),1.858416487,UT Martin,1.464949003,Fordham,1.739524154,Rhode Island,2.81702425
Marshall,1.601493673,Washington St.,1.302911039,Columbia,1.828335424,Mercer,1.74666701,Georgia Tech,2.424430048,St. Bonaventure,1.878283403,Cleveland St.,1.77434017,Colorado,1.315070045,Saint Louis,1.636370763,Fordham,2.497005598
Washington St.,1.561952906,Western Ky.,1.289093029,Canisius,1.717024319,Murray St.,1.666470251,TCU,2.416108301,UC Santa Barbara,1.865521507,Boston U.,1.722369133,Santa Clara,1.270369471,Sam Houston St.,1.500085796,Belmont,2.334024678
Morehead St.,1.49176608,UAB,1.098147846,Drexel,1.651109053,Texas-Arlington,1.268191841,Weber St.,2.198968888,TCU,1.501533781,Western Mich.,1.673240079,San Diego,1.233302027,Richmond,1.49729569,Col. of Charleston,2.271770097
East Carolina,1.448820077,La.-Lafayette,0.987327535,Akron,1.586880384,Arkansas St.,1.248351693,Manhattan,2.142117796,SMU,1.439427599,Fairfield,1.583323216,Murray St.,1.192062816,Green Bay,1.432399315,Tulane,1.913469841
Ball St.,1.176789421,Rutgers,0.782157518,Illinois St.,1.510117206,Niagara,1.058325537,Rice,2.095455525,Pacific,1.384024159,Green Bay,1.511073627,Sam Houston St.,1.180922593,UMBC,1.330005545,Oakland,1.614549963
Louisiana Tech,1.155665439,Vermont,0.537639765,Davidson,1.320718426,Nevada,0.988541781,Bowling Green,1.895870071,Ohio,1.249563508,Niagara,1.489158236,Idaho,1.10486456,Ga. Southern,1.30306776,Green Bay,1.04368754
Towson,1.082688798,Eastern Wash.,0.40363523,Denver,1.286868926,Northwestern St.,0.974207933,Penn,1.801936526,Northern Ariz.,1.216899563,UCF,1.364518219,American,0.985761255,Pacific,1.253534088,Charlotte,0.993624474
Albany (NY),0.934098511,Santa Clara,0.396354279,UAB,1.283814311,Western Mich.,0.899255037,Milwaukee,1.753948019,Hawaii,1.103872485,Idaho,1.245852953,Middle Tenn.,0.822412919,Niagara,1.212993537,Vermont,0.916403876
CSU Bakersfield,0.859912563,Saint Joseph's,0.366549699,Murray St.,1.273119446,Robert Morris,0.741586706,Charlotte,1.675828319,Murray St.,0.946495351,Drexel,1.203571649,Boise St.,0.753102925,Robert Morris,1.116370404,Ill.-Chicago,0.83880384
High Point,0.831158837,Morehead St.,0.341747818,Santa Clara,1.272853059,UAB,0.69883122,Vermont,1.660527316,Nevada,0.944237194,Fresno St.,1.14942463,Tulane,0.737128609,Belmont,0.97120771,Sam Houston St.,0.305390693
Wyoming,0.811609683,N.C. Central,0.300499368,Missouri St.,1.252786161,Col. of Charleston,0.681552639,Idaho,1.432268509,Idaho,0.80053284,Belmont,1.148719438,Bowling Green,0.675676674,La Salle,0.848550993,Siena,0.176999174
Omaha,0.666336623,Eastern Ky.,0.274616775,Pepperdine,1.179049923,UC Irvine,0.667268067,Valparaiso,1.358774595,Vermont,0.718536321,Princeton,1.070688684,Robert Morris,0.662389004,Northern Ariz.,0.802284446,San Diego,0.149726045
IPFW,0.640015301,Middle Tenn.,0.248576139,American,1.124165412,Auburn,0.623651468,Robert Morris,1.357154516,Hofstra,0.538050736,TCU,1.00009639,Milwaukee,0.616881655,Appalachian St.,0.724746519,Oregon St.,0.140231474
Central Mich.,0.580318039,Belmont,0.123747389,Duquesne,1.097565024,Vermont,0.381878043,North Dakota St.,1.087656459,Green Bay,0.508805139,La Salle,0.927263127,North Texas,0.560851549,TCU,0.674056728,Towson,0.077522928
Indiana St.,0.527479163,Columbia,-0.030066885,Eastern Ky.,0.932122973,Oral Roberts,0.329647692,Loyola Maryland,1.046359528,La Salle,0.503747014,Drake,0.898620793,Drexel,0.348871602,Marist,0.639205422,San Francisco,0.01217091
Weber St.,0.448519084,Stony Brook,-0.038928959,Towson,0.767784857,Southern Ill.,0.140651192,Oakland,0.931884835,George Washington,0.469244431,George Mason,0.895644188,DePaul,0.232383774,Santa Clara,0.545815361,SMU,-0.011224701
Green Bay,0.360072993,Cal Poly,-0.080345952,Wright St.,0.657390864,Houston,0.120648687,Houston,0.715767076,Fresno St.,0.382105036,Boise St.,0.85362012,Georgia,0.210076771,Oakland,0.454964024,Valparaiso,-0.179046887
Buffalo,0.323101815,Northern Ill.,-0.318981903,Valparaiso,0.583910596,San Diego,0.09526331,Tulane,0.556542554,Austin Peay,0.352490986,UC Santa Barbara,0.67287175,Colorado St.,-0.01340572,Brown,0.372103198,UC Santa Barbara,-0.243995013
UNC Asheville,0.31877168,Indiana St.,-0.333662164,Quinnipiac,0.36359416,Cal Poly,0.046946813,Col. of Charleston,0.524565854,Saint Peter's,0.299798865,Long Beach St.,0.610589428,Long Beach St.,-0.047179617,Milwaukee,0.266694794,TCU,-0.290396166
Massachusetts,0.158353744,Ga. Southern,-0.415373776,South Dakota St.,0.274820153,Rhode Island,-0.05450132,USC Upstate,0.521870713,Evansville,0.277982055,Oakland,0.593021752,UC Santa Barbara,-0.066702388,Chattanooga,0.130352635,Rice,-0.547623637
Northern Ill.,0.112137522,Oakland,-0.420508176,IPFW,0.237035692,Fairfield,-0.064407232,North Texas,0.302038591,North Dakota St.,0.219903665,Col. of Charleston,0.485305765,James Madison,-0.075503055,Northwestern,0.105590241,Albany (NY),-0.58616364
Tulane,0.081703538,Albany (NY),-0.441874318,Rutgers,0.149810432,Boston U.,-0.091056264,East Tenn. St.,0.272203212,Furman,0.17743083,Coastal Caro.,0.288814424,UALR,-0.098838144,UC Irvine,0.032911111,Detroit,-0.619396121
Elon,0.074552031,USC Upstate,-0.488601788,Southern Ill.,-0.009304385,Western Ky.,-0.160174814,Air Force,0.236275943,Davidson,0.16798539,Loyola Marymount,0.249480997,Mt. St. Mary's,-0.108399962,Northeastern,-0.012487158,Marshall,-0.782905891
La.-Monroe,0.042897863,George Mason,-0.540222724,Loyola Marymount,-0.038161427,SMU,-0.177034419,Stony Brook,0.231079891,Ball St.,-0.059925526,Middle Tenn.,0.112917427,Missouri St.,-0.415804092,Lamar,-0.326867676,Rutgers,-1.027583332
Vermont,-0.091100535,Canisius,-0.594364415,Arkansas St.,-0.039288869,Delaware,-0.254717737,Southern California,0.174633528,Western Mich.,-0.060966381,Morgan St.,0.105852534,Ohio,-0.431499266,Rutgers,-0.380295479,Tennessee Tech,-1.10386865
Boston College,-0.26603307,North Florida,-0.622603241,South Fla.,-0.058083021,Albany (NY),-0.352184471,Cal Poly,0.118954562,UNC Asheville,-0.145839235,Oral Roberts,0.104041329,South Ala.,-0.488765429,George Washington,-0.385518356,South Ala.,-1.110651834
St. John's (NY),-0.293213542,Manhattan,-0.855428612,Charlotte,-0.214286248,South Carolina,-0.360279958,George Washington,0.058299371,Massachusetts,-0.188496475,Western Caro.,0.071393281,Texas-Arlington,-0.641815942,UNCW,-0.502010391,UNC Greensboro,-1.135744594
Eastern Mich.,-0.352732066,Tulane,-0.982857624,Siena,-0.331665888,Montana,-0.538860892,Wake Forest,-0.066210698,Robert Morris,-0.205828703,East Tenn. St.,0.02997511,Col. of Charleston,-0.648726166,Col. of Charleston,-0.84304444,Idaho St.,-1.177765688
Wright St.,-0.503618193,Montana,-1.013435266,Drake,-0.342559415,Drexel,-0.577084634,Fresno St.,-0.246517623,Lipscomb,-0.478411059,Vermont,-0.124802381,Indiana,-0.711626494,American,-0.862928891,Cal Poly,-1.19084073
Montana,-0.658471254,FGCU,-1.061506376,TCU,-0.406045938,Loyola Chicago,-0.5775138,Arizona St.,-0.320639208,Tulane,-0.556735025,Jacksonville,-0.211395899,Louisiana Tech,-0.730683029,UNC Asheville,-1.005641844,North Texas,-1.240934759
Kent St.,-0.664774858,Quinnipiac,-1.090772192,Mississippi St.,-0.420480954,Long Beach St.,-0.687310975,Cal St. Fullerton,-0.476211042,DePaul,-0.700446175,Massachusetts,-0.535388006,Hawaii,-0.832311225,Fresno St.,-1.296074727,High Point,-1.379734561
North Florida,-0.721034002,Princeton,-1.124938995,Weber St.,-0.496900435,Rider,-0.749328925,SMU,-0.585092409,IPFW,-0.765218265,Buffalo,-0.787642649,George Washington,-0.956401875,Austin Peay,-1.354338324,East Tenn. St.,-1.501458378
North Dakota St.,-0.742568447,Rider,-1.173810632,Old Dominion,-0.63816788,Northeastern,-0.838201143,LIU Brooklyn,-0.652028804,Jacksonville,-0.890265161,Eastern Ky.,-0.814424208,Fresno St.,-1.016859777,Texas-Arlington,-1.552236309,Youngstown St.,-1.756329261
Loyola Chicago,-0.817190603,Coastal Caro.,-1.318330766,Omaha,-0.716923138,Army,-0.952480194,Yale,-0.686939467,Miami (OH),-0.924855771,Saint Joseph's,-0.970338636,Morgan St.,-1.025574937,Middle Tenn.,-1.564380073,Northern Ariz.,-1.794381151
Winthrop,-0.874216253,UNCW,-1.616012303,Bucknell,-0.867106383,Tulsa,-1.052546805,Stephen F. Austin,-0.78210043,Bradley,-0.943230036,Davidson,-1.039704105,Utah Valley,-1.15028573,Holy Cross,-1.588820052,Austin Peay,-1.899311562
Coastal Caro.,-1.007258083,Air Force,-1.617719426,Stony Brook,-0.875393142,James Madison,-1.194087811,Delaware,-0.925318926,San Jose St.,-0.946954206,Denver,-1.104315037,Fairfield,-1.197662987,Loyola Maryland,-1.725483464,Cal St. Fullerton,-1.907048999
Murray St.,-1.27465107,Fordham,-1.624574305,Cal Poly,-0.956525304,Ill.-Chicago,-1.275563225,Youngstown St.,-1.014047301,Weber St.,-1.015466756,San Jose St.,-1.107611658,SMU,-1.198416352,Wyoming,-1.852133799,American,-1.959926398
Mercer,-1.294259314,Fresno St.,-1.635928295,William & Mary,-1.047250342,Hawaii,-1.27831892,Western Mich.,-1.121053984,North Texas,-1.074455008,Stephen F. Austin,-1.123841868,Montana,-1.252808885,Central Mich.,-1.860169347,Ball St.,-1.992833639
FGCU,-1.294923316,Chattanooga,-1.660105115,Brown,-1.079164655,Western Ill.,-1.352153227,UTSA,-1.157537725,Saint Joseph's,-1.163612922,North Texas,-1.143323663,Boston U.,-1.408264107,Eastern Mich.,-1.869549163,Montana,-2.178256987
Tennessee St.,-1.32237673,St. Francis Brooklyn,-1.664620066,Milwaukee,-1.085915724,Towson,-1.399229791,UALR,-1.24221381,Cal Poly,-1.218954728,Troy,-1.202693126,San Jose St.,-1.478894003,Weber St.,-1.876647798,Niagara,-2.329620491
Western Ky.,-1.397812694,Mercer,-1.671739276,Western Ky.,-1.093134069,Idaho,-1.489831009,Quinnipiac,-1.330055354,Central Conn. St.,-1.351375431,Campbell,-1.273462678,East Carolina,-1.489123538,Mt. St. Mary's,-2.395049669,Weber St.,-2.406436278
ETSU,-1.407003584,Monmouth,-1.712377325,Holy Cross,-1.146104328,Buffalo,-1.495361465,Miami (OH),-1.403763637,Quinnipiac,-1.488098866,A&M-Corpus Christi,-1.2928543,Lipscomb,-1.490086117,Buffalo,-2.414828599,Central Conn. St.,-2.408703244
Harvard,-1.496020141,Detroit,-1.825959079,Kent St.,-1.387530618,Manhattan,-1.499666762,Charleston So.,-1.50451628,Southern Ill.,-1.865398938,San Diego,-1.328793961,Idaho St.,-1.495497602,William & Mary,-2.531404321,UC Irvine,-2.417984051
George Mason,-1.564219851,Houston,-1.941089422,Yale,-1.388109829,Georgia St.,-1.51851069,Green Bay,-1.537266249,Boston U.,-1.900062273,Tulane,-1.35256174,St. Bonaventure,-1.503619943,East Tenn. St.,-2.55204565,Buffalo,-2.464680273
Detroit,-1.600998843,James Madison,-2.088072188,Col. of Charleston,-1.582667695,Bryant,-1.551092863,FGCU,-1.729350977,Fla. Atlantic,-1.920221395,Valparaiso,-1.552629912,IUPUI,-1.523793683,Montana,-2.631889865,Northwestern St.,-2.478946099
Bucknell,-1.758438421,North Dakota St.,-2.311942415,Morehead St.,-1.685132942,Texas Southern,-1.5930276,Fla. Atlantic,-1.894200792,Drake,-1.943946847,Saint Peter's,-1.641672413,Rider,-1.588809069,UALR,-2.645920824,Eastern Ky.,-2.595684276
A&M-Corpus Christi,-1.808659044,Lafayette,-2.345942532,FGCU,-1.797153432,Charleston So.,-1.59385291,Texas Tech,-1.916050348,Sam Houston St.,-1.948069298,Lipscomb,-1.665841465,Eastern Ky.,-1.597421327,Albany (NY),-2.764971276,William & Mary,-2.636731547
Western Mich.,-1.821638284,High Point,-2.364126922,Oakland,-1.80361484,FIU,-1.617087264,Coastal Caro.,-1.953916183,Charlotte,-1.985187372,Eastern Mich.,-2.162413451,Air Force,-1.638123293,La.-Lafayette,-2.886396041,Eastern Wash.,-2.655745546
Georgia St.,-1.839198066,Pacific,-2.367327273,Youngstown St.,-1.857719813,Youngstown St.,-1.654080941,Western Ky.,-1.978877323,Auburn,-2.00689803,Citadel,-2.175889938,A&M-Corpus Christi,-1.64747083,Loyola Chicago,-2.958675454,Louisiana Tech,-2.705533594
Cal Poly,-1.879113165,Colgate,-2.382467204,USC Upstate,-1.934495682,N.C. Central,-1.673446049,Louisiana Tech,-2.024768103,Northeastern,-2.110048958,Lehigh,-2.229002762,Morehead St.,-1.899668294,Vermont,-2.969660461,Southern Utah,-2.721497436
South Fla.,-1.957532828,Lehigh,-2.482979662,Colgate,-2.038554884,Tennessee St.,-1.686318101,South Ala.,-2.122023573,Loyola Marymount,-2.187253569,San Francisco,-2.262487892,VMI,-1.942041853,Morgan St.,-3.04502901,Northeastern,-2.77980938
Portland,-2.292236005,Saint Peter's,-2.524427259,Bradley,-2.273353867,Toledo,-1.956820038,Hawaii,-2.146477241,Middle Tenn.,-2.273616023,UTSA,-2.28891693,Indiana St.,-2.050006296,East Carolina,-3.166991979,North Dakota,-2.782937596
Charlotte,-2.347161193,NJIT,-2.694148539,Albany (NY),-2.490858832,Southern U.,-2.125608151,Western Ill.,-2.203109441,LSU,-2.284044909,Central Mich.,-2.324959011,Seattle,-2.06058306,Gardner-Webb,-3.19271864,IUPUI,-2.83937644
Oral Roberts,-2.36155085,East Carolina,-2.746819962,Fordham,-2.657736875,Missouri St.,-2.244003308,Columbia,-2.213979134,Yale,-2.320826057,Georgia St.,-2.418440898,Binghamton,-2.125306959,High Point,-3.381036513,Portland St.,-2.843930211
Furman,-2.430090036,UTSA,-2.7645979,Northeastern,-2.671614684,South Ala.,-2.408098485,Ball St.,-2.274300753,Canisius,-2.36927129,Quinnipiac,-2.485598677,Cal St. Fullerton,-2.142739146,Elon,-3.40599149,Loyola Maryland,-2.864251018
Saint Louis,-2.451823502,Duquesne,-2.792909405,Evansville,-2.693920522,Lafayette,-2.440972709,Hofstra,-2.293956051,Penn,-2.412447963,Stony Brook,-2.502594455,Iona,-2.156168921,Lipscomb,-3.418301956,Yale,-2.864641434
Tennessee Tech,-2.571079485,Dartmouth,-2.846416333,Oral Roberts,-2.764053426,Loyola Marymount,-2.448855276,Tennessee St.,-2.382892887,Houston,-2.422362592,Arkansas St.,-2.528989111,Nicholls St.,-2.16468132,Lafayette,-3.470296175,Furman,-3.019738708
San Francisco,-2.706717425,Robert Morris,-2.853035054,Detroit,-2.795849612,Cal St. Fullerton,-2.459792073,American,-2.436603026,American,-2.546528678,Austin Peay,-2.581108887,Troy,-2.205181251,Evansville,-3.586089173,Lipscomb,-3.026334446
Wofford,-3.022501948,La.-Monroe,-2.976286787,Bowling Green,-3.028527451,Texas Tech,-2.64486969,Arkansas St.,-2.49116025,Wyoming,-2.687418566,Rider,-2.583092727,Hofstra,-2.316763692,Oregon St.,-3.664770345,Colorado,-3.127696258
Fairfield,-3.034353972,IPFW,-3.059176035,Robert Morris,-3.078563616,LIU Brooklyn,-2.706605606,La.-Lafayette,-2.552674499,Loyola Maryland,-2.699601698,Seattle,-2.595060131,Holy Cross,-2.493459608,Murray St.,-3.666806961,Sacred Heart,-3.245032556
Eastern Ky.,-3.110313491,American,-3.062234676,Northern Ill.,-3.106318123,Wagner,-2.709751014,Northeastern,-2.653737882,Illinois St.,-2.786620993,La.-Lafayette,-2.757767206,Radford,-2.597404254,James Madison,-3.758759756,Fairfield,-3.531073367
Missouri St.,-3.287899738,Miami (OH),-3.095933583,Wagner,-3.35193884,Columbia,-2.720162841,Toledo,-2.679848608,UNCW,-2.848377732,Southeastern La.,-2.773162041,Sacred Heart,-2.850917951,Bowling Green,-3.848974239,Boston U.,-3.548396912
Denver,-3.409933412,Southern Ill.,-3.105592237,Northwestern St.,-3.532880723,Gardner-Webb,-2.72822856,North Florida,-2.749921911,Stephen F. Austin,-2.848486281,Robert Morris,-2.813121222,Austin Peay,-2.914386371,Hawaii,-4.005613125,Cornell,-3.728378887
Pacific,-3.468104695,Northwestern St.,-3.178841015,Elon,-3.569374167,USC Upstate,-2.746655653,Southern Ill.,-2.843888115,Arkansas St.,-2.955690475,Montana St.,-2.891357089,Manhattan,-2.938879934,Liberty,-4.052714843,Milwaukee,-3.807840032
Loyola Marymount,-3.489309216,Ohio,-3.205240642,East Carolina,-3.590850632,UC Davis,-2.937429506,Savannah St.,-2.907872123,Western Caro.,-2.997041601,Mt. St. Mary's,-2.92854401,Valparaiso,-3.088046097,St. Bonaventure,-4.077200747,Central Mich.,-3.816554548
UTEP,-3.865423172,Texas-Arlington,-3.21575818,Air Force,-3.606791297,Elon,-3.050927341,Wofford,-2.949964546,Cornell,-3.013615084,Evansville,-2.961303348,Northern Colo.,-3.11481037,Central Conn. St.,-4.145623752,SIUE,-3.908608549
North Dakota,-4.015426279,New Hampshire,-3.3118916,Sam Houston St.,-3.75504008,UNC Asheville,-3.162260374,Norfolk St.,-2.998850188,UC Irvine,-3.16864564,UNCW,-3.010733897,UC Davis,-3.255431046,Toledo,-4.287384343,Chattanooga,-3.925717897
Texas Southern,-4.205093773,Bucknell,-3.331975654,Southern U.,-3.76533417,Pepperdine,-3.176890849,Boston U.,-3.061036616,Delaware,-3.213694967,Portland St.,-3.108068902,Denver,-3.260997004,Colgate,-4.321742665,Ga. Southern,-4.10058629
Lehigh,-4.214221787,Cornell,-3.365105278,Wofford,-3.820176052,Marshall,-3.177588852,San Diego,-3.061274113,Siena,-3.257214035,Wyoming,-3.112650319,Rice,-3.365846462,Wofford,-4.359950918,Pacific,-4.146650417
Saint Peter's,-4.25361341,Rice,-3.371138229,Bryant,-3.830160798,Bowling Green,-3.28985032,Rhode Island,-3.089772494,Pepperdine,-3.315827896,Fla. Atlantic,-3.249614545,Southern Utah,-3.389955616,Hampton,-4.383355412,Stephen F. Austin,-4.168679122
Eastern Wash.,-4.398627453,UT Martin,-3.39199471,Rider,-3.835600718,Yale,-3.425021285,Tennessee Tech,-3.132501092,Western Ky.,-3.37800567,Bowling Green,-3.48432844,Liberty,-3.397066167,Fairfield,-4.390986515,Loyola Marymount,-4.255265744
Rider,-4.447844213,Loyola Marymount,-3.394600663,Northern Colo.,-3.86944389,William & Mary,-3.517191751,Eastern Wash.,-3.181385161,Lehigh,-3.485725917,Hawaii,-3.528631225,UTSA,-3.529075116,Southeastern La.,-4.392479593,La Salle,-4.325095006
Ga. Southern,-4.504132525,North Texas,-3.564716021,Bakersfield,-3.88139062,CSUN,-3.653397853,IUPUI,-3.193591395,Denver,-3.537405834,Cal St. Fullerton,-3.538946991,Texas St.,-3.591918767,Ball St.,-4.457177806,Duquesne,-4.365362719
Wagner,-4.540454583,Winthrop,-3.767261581,Miami (OH),-3.917101906,UC Santa Barbara,-3.699657967,Albany (NY),-3.2372129,Mercer,-3.546331105,Manhattan,-3.540070407,Stony Brook,-3.630878981,Delaware,-4.45965441,Robert Morris,-4.432361309
Radford,-4.552637558,Norfolk St.,-3.788877118,Marshall,-3.955088843,TCU,-3.797989679,Wright St.,-3.316050235,Georgia St.,-3.59281865,Loyola Chicago,-3.557745277,Delaware,-3.656142742,Navy,-4.50754112,Eastern Mich.,-4.637082414
FIU,-4.578326265,Sacramento St.,-3.835926447,Montana,-4.082585102,Seattle,-3.829469451,Seattle,-3.330472428,VMI,-3.681140843,James Madison,-3.717059033,UC Riverside,-3.7727618,Youngstown St.,-4.523185576,Bowling Green,-4.66975336
Santa Clara,-4.587189271,Northern Ariz.,-3.857330247,St. Francis Brooklyn,-4.198539092,Oakland,-3.865710174,Portland St.,-3.334617499,UALR,-3.809943245,Eastern Ill.,-3.787912279,Southeastern La.,-3.814890481,Hofstra,-4.525613445,Pepperdine,-4.993336529
Western Caro.,-4.661520539,Oral Roberts,-3.914229945,Loyola Chicago,-4.3123954,UALR,-3.902811424,Cornell,-3.370775456,William & Mary,-3.81541699,Ball St.,-3.824953803,Loyola Chicago,-3.901079107,Denver,-4.617327892,Middle Tenn.,-4.999610506
Navy,-4.701487209,Ball St.,-3.975830216,Utah Valley,-4.400394823,Jacksonville St.,-4.011387364,Boston College,-3.849111423,Wake Forest,-3.858561459,Air Force,-3.849032113,South Dakota St.,-3.91278917,Sacred Heart,-4.772809374,Murray St.,-5.018569386
UC Davis,-4.730512736,Radford,-4.080257847,Marist,-4.453335816,Duquesne,-4.03512408,Lipscomb,-4.016551045,Appalachian St.,-4.27196563,Loyola Maryland,-4.053899771,Youngstown St.,-3.943562661,IPFW,-4.77965485,Northern Ill.,-5.074275414
UC Riverside,-4.76413997,Bradley,-4.166301891,Hampton,-4.454577724,High Point,-4.15529479,Austin Peay,-4.179021045,Maine,-4.285800932,Mercer,-4.146319882,Arkansas St.,-3.992721272,LIU Brooklyn,-4.854889821,Chicago St.,-5.075163969
South Dakota,-4.789339784,South Fla.,-4.224586231,CSUN,-4.472454134,Quinnipiac,-4.230690728,Jacksonville St.,-4.188985927,McNeese St.,-4.303858721,Rice,-4.21532345,Citadel,-4.010391672,Detroit,-5.055929314,UNCW,-5.115470995
Canisius,-4.929392423,UC Riverside,-4.230007076,Texas-Arlington,-4.473252129,La.-Lafayette,-4.412158996,Morehead St.,-4.330270087,Charleston So.,-4.313903731,Canisius,-4.26043554,UC Irvine,-4.016604401,Fla. Atlantic,-5.115219307,Samford,-5.13328498
