tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2012,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
2012,Western Kentucky,Iowa State,Indiana,Baylor,Louisville,Kansas,
2012,Iowa State,Indiana,Baylor,Louisville,Kansas,,
2012,UConn,Baylor,Xavier,Florida,Ohio State,,
2012,VCU,Colorado,Louisville,Ohio State,,,
2012,Wichita State,Xavier,Michigan State,Syracuse,,,
2012,Indiana,Lehigh,Florida,Kansas,,,
2012,New Mexico State,Michigan State,Marquette,North Carolina,,,
2012,Colorado,Saint Louis,Syracuse,,,,
2012,UNLV,Louisville,Wisconsin,,,,
2012,Baylor,New Mexico,Ohio State,,,,
2012,South Dakota State,Marquette,Cincinnati,,,,
2012,Xavier,Murray State,North Carolina,,,,
2012,Notre Dame,Florida,Ohio,,,,
2012,Lehigh,Norfolk State,Kansas,,,,
2012,Duke,Syracuse,N.C. State,,,,
2012,Michigan State,Kansas State,,,,,
2012,LIU,Wisconsin,,,,,
2012,Saint Louis,Vanderbilt,,,,,
2012,Memphis,Cincinnati,,,,,
2012,New Mexico,Florida State,,,,,
2012,Long Beach State,Ohio State,,,,,
2012,Louisville,Gonzaga,,,,,
2012,Davidson,North Carolina,,,,,
2012,Murray State,Creighton,,,,,
2012,Colorado State,Ohio,,,,,
2012,Marquette,South Florida,,,,,
2012,BYU,N.C. State,,,,,
2012,Florida,Georgetown,,,,,
2012,Virginia,Kansas,,,,,
2012,Norfolk State,Purdue,,,,,
2012,Missouri,VCU,,,,,
2012,Syracuse,,,,,,
2012,UNC Asheville,,,,,,
2012,Kansas State,,,,,,
2012,Southern Mississippi,,,,,,
2012,Vanderbilt,,,,,,
2012,Harvard,,,,,,
2012,Wisconsin,,,,,,
2012,Montana,,,,,,
2012,Cincinnati,,,,,,
2012,Texas,,,,,,
2012,Florida State,,,,,,
2012,St. Bonaventure,,,,,,
2012,Gonzaga,,,,,,
2012,West Virginia,,,,,,
2012,Ohio State,,,,,,
2012,Loyola Md.,,,,,,
2012,North Carolina,,,,,,
2012,Vermont,,,,,,
2012,Creighton,,,,,,
2012,Alabama,,,,,,
2012,South Florida,,,,,,
2012,Temple,,,,,,
2012,Ohio,,,,,,
2012,Michigan,,,,,,
2012,N.C. State,,,,,,
2012,San Diego State,,,,,,
2012,Georgetown,,,,,,
2012,Belmont,,,,,,
2012,Purdue,,,,,,
2012,Saint Mary's Calif.,,,,,,
2012,Kansas,,,,,,
2012,Detroit,,,,,,
