tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2015,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Wisconsin,Duke
2015,Kansas,Cincinnati,West Virginia,Notre Dame,Wisconsin,Duke,
2015,Notre Dame,West Virginia,Notre Dame,Wisconsin,Michigan State,,
2015,Maryland,Maryland,Wichita State,Arizona,Duke,,
2015,West Virginia,Butler,Wisconsin,Louisville,,,
2015,Butler,Notre Dame,North Carolina,Michigan State,,,
2015,Wichita State,Wichita State,Xavier,Duke,,,
2015,Cincinnati,Kansas,Arizona,Gonzaga,,,
2015,Purdue,Wisconsin,NC State,,,,
2015,Indiana,Oregon,Louisville,,,,
2015,Texas,Arkansas,Oklahoma,,,,
2015,Buffalo,North Carolina,Michigan State,,,,
2015,Valparaiso,Xavier,Duke,,,,
2015,Northeastern,Georgia State,Utah,,,,
2015,New Mexico State,Ohio State,UCLA,,,,
2015,Hampton,Arizona,Gonzaga,,,,
2015,Wisconsin,Villanova,,,,,
2015,Arizona,NC State,,,,,
2015,Baylor,Northern Iowa,,,,,
2015,North Carolina,Louisville,,,,,
2015,Arkansas,Dayton,,,,,
2015,Xavier,Oklahoma,,,,,
2015,VCU,Michigan State,,,,,
2015,Oregon,Virginia,,,,,
2015,Oklahoma State,Duke,,,,,
2015,Ohio State,San Diego State,,,,,
2015,Ole Miss,Utah,,,,,
2015,Wofford,Georgetown,,,,,
2015,Harvard,UCLA,,,,,
2015,Georgia State,UAB,,,,,
2015,Texas Southern,Iowa,,,,,
2015,Coastal Carolina,Gonzaga,,,,,
2015,Villanova,,,,,,
2015,Virginia,,,,,,
2015,Oklahoma,,,,,,
2015,Louisville,,,,,,
2015,Northern Iowa,,,,,,
2015,Providence,,,,,,
2015,Michigan State,,,,,,
2015,North Carolina State,,,,,,
2015,LSU,,,,,,
2015,Georgia,,,,,,
2015,Dayton,,,,,,
2015,Wyoming,,,,,,
2015,UC Irvine,,,,,,
2015,Albany (NY),,,,,,
2015,Belmont,,,,,,
2015,Lafayette,,,,,,
2015,Duke,,,,,,
2015,Gonzaga,,,,,,
2015,Iowa State,,,,,,
2015,Georgetown,,,,,,
2015,Utah,,,,,,
2015,SMU,,,,,,
2015,Iowa,,,,,,
2015,San Diego State,,,,,,
2015,St. John's,,,,,,
2015,Davidson,,,,,,
2015,UCLA,,,,,,
2015,Stephen F. Austin,,,,,,
2015,Eastern Washington,,,,,,
2015,UAB,,,,,,
2015,North Dakota State,,,,,,
2015,Robert Morris,,,,,,
